"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term","Marital status"
"136","Kazem Nasab Albaji","Javad"," 1965, Ahvaz","MA in Political Science",NA,"Khuzestan","125198","259390","48/26","Ahvaz, Bawi, Hamidieh, Karoun","Head of Ahvaz Islamic City Council","10th Term",NA
"137","Kazem zade","Shadmehr"," 1970, Darreh Shahr","Ph.D. in Strategic Management",NA,"Ilam","51604","89742","57/5","Darreh Shahr, Dehloran, Abadanan, Badreh","Housing and Construction Manager","10th Term",NA
"138","Kazemi baba heydari","Ali"," 1967, Babaheidar","Ph.D. in Physical Chemistry",NA,"Charmahal and Bakhtiari","51588","80367","64/19","Ardal, Farsan, Kouhrang, Kiar, Dehestan, Dastjerd","Faculty Member of  University","10th Term",NA
"139","Kazemi","Mohammad"," 1958, Malayer","BA in Public Law","6th Term",NA,"45282","195682","33/89","Malayer","Judge at Iran Supreme Court","10th Term",NA
"140","Kazemi","Seyed Hamid reza"," 1963, Khoramabad","MA in Political Science",NA,"Lorestan","18950","50642","37/41","Poldokhtar","Advisor to Minister of Justice","10th Term",NA
"141","Kesht zar","Habibollah"," 1960, Behbahan","MA in  Social Sciences",NA,"Khuzestan","44393","82966","53/5","Behbahan, Aghajari","Mayor","10th Term",NA
"142","Keykha","Ahmad Ali"," 1967, Zabol","Ph.D. in Agricultural Economics","8th Term",NA,"64950","186696","34/78","Zabol, Zahak, Hamoun,  Nimrouz, Hirmand","Deputy Head of Department of Environment","10th Term",NA
"143","Khadari","Abdolhamid"," 1978, Deylam","Ph.D.",NA,"Bushehr","41957","141121","29/73","Bushehr, Ganaveh, Deylam","Judge","10th Term",NA
"144","Khadem","Seyed Alaeddin"," 1955, Sepidan","MA in Management",NA,"Fars","38260","77950","49/08","Sepidan","Official in Ministry of Education","10th Term",NA
"145","Khademi","Hidayat Allah"," 1959, Izeh","MS in Mechanical Engineering",NA,"Khuzestan","72738","131419","55/34","Izeh, Bagh-E-Malek","CEO of North Drilling Company","10th Term",NA
"146","Khaledi sardashti","Mohammad",NA,"Ph.D. in Chemistry",NA,"Charmahal and Bakhtiari","38751","127547","30/38","Lordegan","Faculty Member of  University","10th Term",NA
"147","Khaleghi","Bashir"," 1949, Khalkhal","M.D. Pediatrician","8th Term",NA,"19120","59255","32/26","Khalkhal, Kowsar","Physician","10th Term",NA
"148","Khanlari","Karen"," 1964,Tehran","Ph.D. in Civil Engineering (Structures)","9th Term","Khorasan","8640","11840","72/89","Christians of Northern Iran","Faculty Member of  University","10th Term",NA
"149","Khaste band","Hassan"," 1957, Bandar-E-Anzali","MA in Management","6th Term, 8th Term, 9th Term","Gilan","14948","48328","30/93","Bandar-E-Anzali","Director General of Urban and Rural Affairs Department","10th Term",NA
"150","Khatami","Seyed morteza"," 1953, Bijar","M.D.",NA,"Zanjan","13875","54698","25/36","Mahneshan, Ijrud","Official in Ministery of Health, Treatment and Medical Education","10th Term",NA
"151","Khezri","Rasoul"," 1967, Piranshahr","Medical Doctor (M.D)","9th Term","West Azarbaijan","27760","106861","25/97","Piranshahr, Sardasht","Physician","10th Term",NA
"152","Khodabakhshi","Mohammad"," 1971, Aligodarz","Ph.D. in Applied Mathematics",NA,"Lorestan","20991","71201","29/48","Aligodarz","Faculty Member of  Shahid Beheshti University","10th Term",NA
"153","Khodadadi","Salman"," 1962, Malkan","Ph.D. in International Relations","5th Term, 6th Term, 7th Term, 8th Term","East Azarbaijan","33132","66699","49/47","Malkan","Teaching at Azad University","10th Term",NA
"154","Khojaste","Amir"," 1959, Hamedan","MA in Divinity and Arabic Literature","9th Term",NA,"80306","268739","29/88","Hamedan,  Famenin","Chancellor of Farhangian University","10th Term",NA
"155","Kiyanpour","Majid"," 1973, Tehran","Ph.D. in Civil Engineering",NA,"Lorestan","45555","89244","51/04","Azna, Dorud","Deputy Minister of Roads and Urban Development","10th Term",NA
"156","Kochaki Nejadarm sadati","Jabar"," 1957, Eramsadat","MA in Management","8th Term, 9th Term","Gilan","54316","131970","41/35","Rasht","Head of Education Department at Gilan","10th Term",NA
"157","Kolivand","Mohammad Javad"," 1967, Tuyserkan","MA in Industrial Management","9th Term","Alborz","143434","554065","25/88","Karaj, Fardis, Eshtehard, Asara","Director General of Property at Foreign Ministry","10th Term",NA
"158","Kord","Ali"," 1966, Zahedan","MS of Geography Planning Tourism",NA,NA,"60348","105348","57/28","Khash,Mirjaveh, Kurin, Nosratabad","Teaching at  University","10th Term",NA
"159","Kouhkan rizi","Mohsen"," 1957, Zarin Shahr","MA in Public Law","4th Term, 7th Term, 8th Term","Esfahan","38175","120005","33/54","Lanjan","Governor","10th Term",NA
"160","Kouse Gharavi","Shahram"," 1969, Kalaleh","MA in EMBA",NA,"Golestan","74329","142326","52/22","Minudasht, Kalaleh, Maravehtapeh, Galikesh","Head of Engineers Council in East Golestan Province","10th Term",NA
"161","Lotfi","Hassan"," 1971, Karafs","MA in Criminal Law and Criminology",NA,NA,"25324","48462","52/25","Razan","Official in Hamadan Governorship+G96","10th Term",NA
"162","Mafi","Parvane"," 1957, Tehran","Ph.D. in Business Administration",NA,"Tehran","1162195","3244056","35/82","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Governor","10th Term",NA
"163","Maghsoudi","Hossein"," 1973, Sabzevar","MA in Educational Management",NA,"Khorasan Razavi","102345","238923","42/82","Sabzevar, Joveyn, Joghatai, Khoshab, Davarzan, Sheshtamad","Sabzevar Mayor","10th Term",NA
"164","Mahjoub","Alireza"," 1958, Karaj","BA in History","5th Term, 6th Term, 7th Term, 8th Term, 9th Term","Tehran","1311996","3244056","40/42","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Secretary General of House of Labor","10th Term",NA
"165","Mahmoudi shah neshin","Mohammad"," 1964, Ardabil","MA in EMBA",NA,"Tehran","81826","195971","61/12","Shahriar, Malard, Qods","Member of Islamic City Council","10th Term",NA
"166","Mahmoudi","Somaye"," 1984, Semirom","MA in Sociology",NA,"Esfahan","28905","50493","57/24","Dehaghan, Shahreza","Employee of  Governorship","10th Term",NA
"167","Mahmoudzade","Jalal"," 1966, Mahabad","MS in Agricultural Engineering","8th Term","West Azarbaijan","46856","85796","54/61","Mahabad","Advisor to Deputy Minister","10th Term",NA
"168","Maleki","Vali"," 1961, Meshkinshahr","Ph.D. in Management",NA,NA,"22457","83799","26/79","Meshkinshahr","CEO of Zamzam","10th Term",NA
"169","Malekshahi rad","Mohammad Reza"," 1957, Ashtar","MA in Educational Management",NA,"Lorestan","63710","177375","35/91","Khoramabad, Chegeni","Employee of  IRIB","10th Term","8th Term"
"170","Malekshahi","Allahyar"," 1961, Kuhdasht","Ph.D. in Public Law",NA,"Lorestan","54938","128621","42/71","Kuhdasht, Roumeshkan","Judge","10th Term","9th Term"
"171","Mansouri","Mohammad Reza"," 1966, Saveh","MS in Industrial Engineering",NA,"Markazi","36264","68226","53/15","Zarandieh, Saveh","Teaching at  University","10th Term",NA
"172","Masoudi","Asghar"," 1965","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza",NA,"Fars","34346","68572","50/08","Neyriz, Estahban","Chancellor of University","10th Term",NA
"173","Mazani","Ahmad"," 1961, Kordkuy","MA in Public Management",NA,"Tehran","1125608","3244056","34/69","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Deputy Head of Foundation of Martyrs and Veterans Affairs","10th Term",NA
"174","Mesri","Abdolreza"," 1956, Kermanshah","MA",NA,"Kermanshah","143928","336148","42/81","Kermanshah","Minister of Welfare and Social Security","10th Term","7th Term, 9th Term"
"175","Mirzade","Seyed Hemayat"," 1962, Moghan","MS in Educational Research",NA,NA,"21399","47803","44/76","Germi","Teaching at Technical and Vocational  University","10th Term",NA
"176","Mirzaei Nikou","Ghasem"," 1955,Tehran","MA in Architecture and Urban Development",NA,"Tehran","20659","36527","56/55","Damavand, Firouzkouh,  Roodehen","Presidential Office Deputy Chief Inspector","10th Term",NA
"177","Mirzaei","Jalal"," 1973, Shirvan","Ph.D.",NA,"Ilam","62231","165289","37/64","Ilam, Shirvan, Chardavol, Mehran, Malekshahi, Roodehen","Faculty Member of Shahid Bahonar University","10th Term",NA
"178","Mofateh","Mohammad mahdi"," 1956, Qom","Ph.D. in Economics",NA,NA,"39623","52990","74/77","Tuyserkan","Advisor to Minister of Commerce","10th Term","4th Term, 5th Term, 7th Term, 8th Term, 9th Term"
"179","Moghadasi","Seyed Mahdi"," 1963, Arak","Ph.D. in Strategic Management",NA,"Markazi","88094","146125","60/28","Arak, Komijan, Khandab","Karaj Mayor","10th Term",NA
"180","Mohammadi","Davoud"," 1963, Qazvin","MA in Criminal Law and Criminology","9th Term","Qazvin","107991","332488","32/47","Qazvin, Alborz, Abyek","Head of Islamic Revolution Court","10th Term",NA
"181","Mohammadi","Davoud"," 1329, Qom","MA in Political Science",NA,"Tehran","121042","3244056","34/55","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Secretary General of Islamic Teachers Association","10th Term",NA
"182","Mohammadiyan","Eghbal"," 1965, Ramhormoz","Ph.D. in Strategic Management",NA,"Khuzestan","25455","99140","25/67","Ramhormoz, Ramshir","Teaching at  University","10th Term",NA
"183","Mohebbi niya","Jahanbakhsh"," 1962, Miandoab","Ph.D. in Political Science","5th Term, 6th Term, 7th Term, 8th Term","East Azarbaijan","61186","177878","34/39","Shahin Dej, Miandoab, Takab","Chancellor of Farhangian University","10th Term",NA
"184","Mokhtar","Jalil"," 1974, Khoramshahr","Ph.D. in Sociology",NA,"Khuzestan","25412","97406","26/08","Abadan","Teaching at  University","10th Term",NA
"185","Moradi","Ahamd"," 1968, Bandar-E-Abbas","MA in Public Law",NA,"Hormozgan","199035","362042","37/82","Bandar-E-Abbas, Qeshm, Abu Musa, Hajiabad, Khamir","Governor of Bandar Abbas","10th Term",NA
"186","Moradi","Ali Mohammad"," 1962, Qorveh","MA in General Law",NA,NA,"39302","97025","40/5","Qorveh, Dehgolan"," Teacher","10th Term",NA
"187","Moradi","Mansour"," 1977, Marivan","MA in Accounting",NA,NA,"28138","51045","55/12","Marivan, Sarv Abad","Vice-President of Bank Refah Branch Office","10th Term",NA
"188","More Sedgh","Siyamak"," 1965, Shiraz","M.D., General Surgeon","8th Term, 9th Term","Khorasan","2449","3397","72/09","Jews","Teaching at  University","10th Term",NA
"189","Motahari","Ali"," 1957, Tehran","Ph.D. in Philosophy and Islamic Theology",NA,"Tehran","1447713","3244056","44/62","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of Tehran University","10th Term","8th Term, 9th Term"
"190","Mousavi bouicki","Seyed Abolfazl"," 1963, Tehran","MS in Civil Engineering",NA,"Yazd","124448","247258","50/33","Yazd, Ashkezar, Nodoushan, Surak","Deputy Minister of Housing and Urban Development","10th Term",NA
"191","Mousavi laregani","Seyed Naser"," 1963, Falavarjan","MA in History",NA,"Esfahan","56208","97171","57/84","Falavarjan"," Teacher","10th Term","8th Term, 9th Term"
"192","Mousavi","Seyed Farid"," 1980, Maraghe","Ph.D. in Production and Operation Management",NA,"Tehran","1125992","3244056","34/7","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at  University","10th Term",NA
"193","Naderi","Shahab"," 1975, Salas Babjani","Ph.D. in Management",NA,"Kermanshah","32514","116336","27/94","Paveh, Javanrud, Salas Babjani, Ravansar","Teaching at  University","10th Term",NA
"194","Naghavi Hosseini","Seyed Hossein"," 1960, Varamin",NA,NA,"Tehran","94697","194440","48/7","Varamin, Qarchak, Pishva","Chancellor of University","10th Term","8th Term, 9th Term"
"195","Najafi Khoshroudi","Ali"," 1970, Babol","MA in International Relations",NA,"Mazandaran","62708","243941","25/7","Babol","Irans Ambassador to the Kyrgyzstan","10th Term",NA
"196","Najafi","Mohammad Reza"," 1969, Khomeyn","BS in Industrial Engineering",NA,"Tehran","1118119","3244056","34/46","Tehran, rey, Shemiranat, Eslamshahr, Pardis","CEO of Kaveh Industrial Park","10th Term",NA
"197","Nanvakonari","Valiollah"," 1958, Babolsar","MA",NA,"Mazandaran","39139","91935","42/76","Babolsar, Fereydun Kenar","Tehran Municipality Senior Advisor","10th Term",NA
"198","Naseri Nejad","Majid"," 1967, Shadegan","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza",NA,"Khuzestan","36006","74680","48/21","Shadegan","Judge","10th Term","7th Term, 8th Term"
"199","Negahban salami","Mahmoud"," 1977, Hezar Khousheh","Ph.D. in Educational Psychology",NA,"Khorasan Razavi","44373","119563","39/14","Khvaf, Rasht, Khur","Teaching at  University","10th Term","9th Term"
"200","Nemati","Behrouz"," 1968, Asadabad","MA in EMBA",NA,"Tehran","1158036","3244056","35/69","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Governor","10th Term","9th Term"
"201","Nikfar Layalestani","Zabih"," 1965, Lahijan","Medical Doctor (M.D)",NA,"Gilan","47341","91860","51/53","Siahkal, Lahijan","Physician","10th Term",NA
"202","Nikzadi panah","Habibollah"," 1953, Khash","MA in Management",NA,"Kerman","72985","139427","52/34","Bam, Reyghan, Fahruj, Narmashir","President of Bank Keshavarzi","10th Term",NA
"203","Niyaz Azari","Hossein"," 1957, Babol","MA in Public Management",NA,"Mazandaran","63209","123752","51/07","Babol","CEO of Tehran Water and Wastewater Authority","10th Term","9th Term"
"204","Nobakht Haghighi","Ali"," 1948, Rasht","M.D., Nephrologist",NA,"Tehran","1173036","3244056","36/15","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at  University","10th Term",NA
"205","Norouzi","Hassan"," 1960, Mashhad","Ph.D. in Strategic Management",NA,"Tehran","54368","92875","58/53","Robatkarim, Baharestan","Judge","10th Term","8th Term"
"206","Nourgholi pour","Ramin"," 1971, Gamishani","Ph.D. in Geomatics and Geographic Information System",NA,"Golestan","69480","104459","66/51","Bandar-E-Torkman, Kordkuy, Bandar-E-Gaz,Gamishani","Teaching at  University","10th Term",NA
"207","Nouri","Seyed Razi"," 1967, Dasht-E-Azadegan","Medical Doctor (M.D)",NA,"Khuzestan","37764","90932","41/52","Shush Daniel","Physician","10th Term","9th Term"
"208","Nouriyan","Ardeshir"," 1966, Shahrekord","Ph.D. in International Relations",NA,"Charmahal and Bakhtiari","42152","152050","27/72","Shahrekord, Bon, Saman","CEO of Renovation Company","10th Term",NA
"209","Olad Qaba","Farideh"," 1970, Kuhdasht","Ph.D. student of social sciences",NA,"Tehran","1262112","3244056","38/9","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Cultural Activist","10th Term",NA
"210","Osmani","Mohammad Ghasim"," 1968, Bukan","Ph.D. in Accounting (Minoring in Budgeting)","8th Term, 9th Term","West Azarbaijan","47163","106609","44/23","Bukan","Faculty Member of Shahid Beheshti University","10th Term",NA
"211","Papi zadeh balangan","Abbas"," 1981, Dezful","MS in Agricultural Management","9th Term","Khuzestan","96852","200393","48/33","Dezful","Deputy Minister of Agricultural Jihad","10th Term",NA
"212","Parsaei","Bahram"," 1970, Khoramabad","Doctor of Dental Medicine",NA,"Fars","197419","568553","34/72","Shiraz","Dentist","10th Term",NA
"213","Pejmanfar","Nasrollah"," 1964, Tehran","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza","9th Term","Khorasan Razavi","380235","1071666","35/48","Mashhad, Kalat","Deputy Head of Khorassan Province Hawza for Education and Research","10th Term",NA
"214","Pezeshkian","Masoud"," 1954, Mahabad","M.D., Cardiac Surgeon","8th Term, 9th Term","East Azarbaijan","261605","721122","36/27","Azarshahr, Osku, Tabriz","Teaching at  University","10th Term",NA
"215","Pour hossein shalghan","Shakour"," 1977, Shaqlan"," Ph.D",NA,NA,"52731","101306","52/05","Bilehsavar, Pars Abad","Judge","10th Term",NA
"216","Pour Ibrahimi Davarani","Mohammad Reza"," 1970, Rafsanjan","Ph.D. in Financial Management","9th Term","Kerman","157450","306934","51/29","Ravar, Kerman","Faculty Member of Tehran University","10th Term",NA
"217","Pour mokhtar","Mohammad Ali"," 1962, Hamedan","Ph.D. in International Law","9th Term",NA,"39725","142366","27/90","Bahar, Kabudarahang","IRGC Member","10th Term",NA
"218","Pourbaferani","Abbasali"," 1972, Baferan","Ph.D.  in Educational Management",NA,"Esfahan","11154","39529","28/21","Nain, Khur, Biabanak","Deputy Head of Security Department of Ministry of Health","10th Term",NA
"219","Qomi","Mohammad"," 1952, Shahr-E-rey","Ph.D.in International Law","Third Term, 4th Term, 5th Term, 6th Term, 7th Term","Tehran","46398","91654","50/62","Pakdasht","Chancellor of Azad Universitys Parand Branch","10th Term",NA
"220","Rabeai Faradanbe","Khadije"," 1980, Borojen","Ph.D. in Organic Chemistry",NA,"Charmahal and Bakhtiari","22275","41253","53/99","Borojen","Faculty Member of Qom University","10th Term",NA
"221","Rahimi Jahan Abadi","Jalil"," 1972, Torbat-E-Jam","Ph.D. in International Relations",NA,"Khorasan Razavi","108934","199734","54/53","Taybad, Torbat-E-Jam, Bakhazar","Chancellor of Azad Universitys 232633 Branch","10th Term",NA
"222","Rahimi","ALireza"," 1968, Ahvaz","MA in International Law",NA,"Tehran","1114839","3244056","34/36","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Advisor to Vice President for Executive Affairs","10th Term",NA
"223","Rajabi","Farjollah"," 1960, Shiraz","MS in Urban Development",NA,"Fars","172842","568553","30/4","Shiraz","Head of Engineers Council in Fars Province","10th Term",NA
"224","Ranjbarzade","Akbar"," 1965, Asadabad","Medical Doctor (M.D)","8th Term",NA,"19430","52438","37/05","Asadabad","Faculty Member of  University","10th Term",NA
"225","Razeiyan","Abdollah"," 1967, Qaemshahr","Ph.D. in Private Law",NA,"Mazandaran","62192","225052","27/63","Savadkouh, Qaemshahr, Juybar, Simurgh, Savadkouh North","Judge","10th Term",NA
"226","Reza zade","Hossein"," 1968, Kazerun","Ph.D. in Criminal Law and Criminology",NA,"Fars","39989","117153","34/13","Kazerun","Judge","10th Term",NA
"227","Rezaei kouchi","Mohammad Reza"," 1971, Fars","Medical Doctor (M.D), Ph.D.in management","8th Term, 9th Term","Fars","53882","107343","50/19","Jahrom","Mayor","10th Term",NA
"228","Rezaei","Masoud"," 1957, Shiraz","MA in Public Law",NA,"Fars","142626","568553","25/08","Shiraz","Cultural Activist","10th Term",NA
"229","Rezaei","Mohammad Ibrahim"," 1962, Khomeyn","MA in Management","9th Term","Markazi","22664","49322","45/95","Khomeyn","IRGC Member","10th Term",NA
"230","Rostamian","Ali"," 1968, Delfan","MA in History",NA,"Lorestan","48440","117480","41/23","Delfan,Selseleh","Governor","10th Term",NA
"231","Saadat","Mohammad bagher"," 1955, Dashtestan","MA",NA,"Bushehr","36916","106313","34/72","Dashtestan","Deputy Head of Cultural Heritage Organization for Logistics Affairs","10th Term",NA
"232","Sabaghiyan Bafghi","Mohammad Reza"," 1968, Bafq","MA in Political Science",NA,"Yazd","42159","73223","57/57","Bafq, Mehriz, Abarkuh, Bafq, Bahabad, Khatam","Teacher","10th Term",NA
"233","Sadati nejad","Seyed Javad"," 1972, Kashan","Ph.D. in Hydraulics",NA,"Esfahan","70761","161485","43/81","Aran, Bidgol, Kashan","Faculty Member of Tehran University","10th Term",NA
"234","Sadeghi","Mahmoud"," 1962, Qom","Ph.D. Private Law",NA,"Tehran","1164368","3244056","35/89","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of  University","10th Term",NA
"235","Saedi","Ghasem"," 1965, Dasht-E-Azadegan","MA in Sociology",NA,"Khuzestan","20643","68052","30/33","Dasht-E-Azadegan, Hoveyzeh","Cultural Activist","10th Term",NA
"236","Saeedi Mobarke","Zahra"," 1983, Mobarakeh","Ph.D. in Industrial Engineering",NA,"Esfahan","29463","66345","30/84","Mobarakeh","Faculty Member of Red Crescent Society","10th Term",NA
"237","Saeedi","Fatemeh"," 1962, Tehran","MA in Educational Management",NA,"Tehran","1176905","3244056","36/27","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Manager of Cultural Institute","10th Term",NA
"238","Saeedi","Mohammad Ismaeil"," 1961, Gougan","Ph.D. in Business Management","9th Term","East Azarbaijan","108275","312840","34/61","Azarshahr, Osku, Tabriz","IRGC Member","10th Term",NA
"239","Saei","Zahra"," 1980, Tabriz","Ph.D. in Geopolitics",NA,"East Azarbaijan","196116","312840","42/83","Azarshahr, Osku, Tabriz","Advisor and Director General of Womens Affairs","10th Term",NA
"240","Safari Natanzi","Morteza"," 1956, Natanz","Ph.D. in Economics",NA,"Esfahan","9842","37644","26/14","Qamsar, Natanz","Irans Ambassador to the Spain","10th Term",NA
"241","Safari","Ahmad"," 1970, Kermanshah","BS in Computer Software Engineering",NA,"Kermanshah","74304","124858","59/51","Kermanshah","District Governor of Kuzaran","10th Term",NA
"242","Salahshouri","Parvane"," 1964, Masjed-E-Soleyman","Ph.D. in Sociology",NA,"Tehran","1198760","3244056","36/95","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at  University","10th Term",NA
"243","Salek Kashani","Ahmad"," 1946, Esfahan","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza","First Term, Third Term, 4th Term, 9th Term","Esfahan","176807","671471","26/33","Esfahan","Deputy Head of Ahlul Bayt World Assembly for Cultural Affairs","10th Term",NA
"244","Salimi","Alireza"," 1964, Mahalat","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza",NA,"Markazi","11470","43141","26/58","Mahalat,Delijan","Faculty Member of  University","10th Term","8th Term, 9th Term"
"245","Salimi","Asghar"," 1971, Semirom","Medical Doctor (M.D)",NA,"Esfahan","16357","28737","56/91","Semirom","Physician","10th Term",NA
"246","Sameri","Abdollah"," 1971, Khoramshahr","MA","9th Term","Khuzestan","19318","60541","31/74","Khoramshahr, Minoushahr","Security Department of Municipality","10th Term",NA
"247","Sari","Ali"," 1976, Dasht-E-Azadegan","Ph.D. in Electrical Engineering",NA,"Khuzestan","119561","259390","43/69","Ahvaz, Bavi, Hamidieh, Karon","Teaching at  University","10th Term",NA
"248","Shaeri","Ali Mohammad"," 1959, Neka","Ph.D. in Agricultural Science",NA,"Mazandaran","70403","175973","40","Behshahr, Neka, Galugah","Deputy of Department of Environment","10th Term",NA
"249","Shahriyari","Hossein ali"," 1951, Zabol","M.D., Ophthalmologist with Fellowship in Cornea","7th Term, 8th Term, 9th Term",NA,"86098","223262","38/56","Zahedan","Teaching at  University","10th Term",NA
"250","Shahriyari","Seyed Kamalodin"," 1952, Tehran","Ph.D. in Urban Development","Third Term, 4th Term","Bushehr","54308","85016","63/87","Dashti, Tangestan","Faculty Member of  Azad University","10th Term",NA
"251","Sharafi","Gholamreza"," 1964, Abadan","MA in MBA",NA,"Khuzestan","21100","40726","51/8","Abadan","Teaching at  University","10th Term",NA
"252","Shariat nejad","Shamsollah"," 1956, Tonkabon","Ph.D. in Natural Resources Engineering","9th Term","Mazandaran","46528","197234","34/43","Tonkabon, Ramsar, Abbasabad","Deputy of Forests, Range and Watershed Management Organization","10th Term",NA
"253","Sharif pour","Eynollah"," 1956, Chaldoran","MA in Management",NA,"West Azarbaijan","27753","110989","25","Maku, Chaldoran, Showt, Poldasht","Official in West Azarbaijan Governorship","10th Term",NA
"254","Sheikh","Mahdi"," 1966, Tehran","Graduate of High Level of Islamic Jurisprudence and Principles -Hawza",NA,"Tehran","1174410","3244056","36/2","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at  University","10th Term",NA
"255","Shiran Khorasani","Reza"," 1963, Mashhad","Ph.D. in International Public Law",NA,"Khorasan Razavi","347167","1071666","32/39","Mashhad, Kalat","Advisor to Minister of Interior","10th Term",NA
"256","Shivyari","yaghoub"," 1968, Tehran","Medical Doctor (M.D)",NA,"East Azarbaijan","23919","94566","25/29","Mianeh, Torkmanchay, Kaghazkanan, Kandovan, Markazi","Physician","10th Term",NA
"257","Shokri","Mahmoud"," 1959, Talesh","MA in Public Management","9th Term","Gilan","48886","182594","26/77","Talesh, Rezvanshahr, Masal","Advisor to Minister of Economy and Finance","10th Term",NA
"258","Shoushtari","Hadi"," 1971, Sarvelayat","Ph.D. in Public Law","8th Term, 9th Term",NA,"41035","116268","35/29","Faruj, Quchan","Governor of Dargaz, Qouchan and Faruj","10th Term",NA
"259","Siavoshi Shah Enayati","Taibe"," 1966, Shemiran","MA in International Relations",NA,"Tehran","1128370","3244056","34/78","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Foreign Ministry Employee","10th Term",NA
"260","Sobhani far","Ramezan ali"," 1965, Sabzevar","MA","9th Term","Khorasan Razavi","75308","238923","31/51","Sabzevar, Joveyn, Joftai, Khoshab, Davarzan, Sheshtamad","Ministry of Communications and Information Technology Employee","10th Term",NA
"261","Soleymani","Hassan"," 1953, Sahne","BA in Juridical Science","4th Term, 6th Term, 7th Term","Kermanshah","48891","197788","36/03","Kangavar, Sahne, Hersin, Dinwar","Judge","10th Term",NA
"262","Soroush","Abolfazl"," 1969, Neka","Medical Doctor (M.D)",NA,"Tehran","1200018","3244056","36/99","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Physician","10th Term",NA
"263","Tabatabai Nejad","Seyed Sadegh"," 1981, Qom","MA in  commentary",NA,"Esfahan","16100","30075","53/53","Ardestan","Teaching at Hawza","10th Term",NA
"264","Tabesh","Mohammad Reza"," 1958, Ardakan","Ph.D. in Natural Resources Engineering","6th Term, 7th Term, 8th Term, 9th Term","Yazd","25571","39665","63/71","Ardakan","Deputy of Staff of Presidential Office","10th Term",NA
"265","Taherkhani","Bahman"," 1961, Takestan","MA in International Law",NA,"Qazvin","40406","83732","48/25","Takestan","Judge","10th Term",NA
"266","Tajari","Farhad"," 1968, Sarpolzahab","Ph.D. in Private Law","8th Term","Kermanshah","30731","108694","28/27","Qasr-E-Shirin, Sarpolzahab, Gilangharb","Judge","10th Term",NA
"267","Tajgardoun","Gholamreza"," 1966, Gachsaran","Ph.D. in Economics","9th Term",NA,"66110","89723","73/68","Gachsaran, Basht","Faculty Member of  University","10th Term",NA
"268","Tajoddin","Nahid"," 1976, Esfahan","Ph.D. in Genetics",NA,"Esfahan","195066","671471","29/05","Esfahan","Faculty Member of  University","10th Term",NA
"269","Tayar","Ghorje"," 1976, Gonbad Kavus","MA in Political Science",NA,"Golestan","50822","158194","32/12","Gonbad Kavus","President of Bank Tejarat","10th Term",NA
"270","Torbati Nejad","Nour Mohammad"," 1956, Gorgan","Ph.D. in Animal Science",NA,"Golestan","75323","167800","44/88","Agh Ghala, Gorgan","Faculty Member of  University","10th Term",NA
"271","Torki","Akbar"," 1963, Faridan","Ph.D. in Radiology",NA,"Esfahan","22536","87004","25/9","Faridan, Fereydunshar, 232740egan, Buin, Miandasht","Physician","10th Term",NA
"272","Vaghfchi","Ali"," 1966, Taram Zanjan","Ph.D",NA,"Zanjan","60814","115574","52/61","Zanjan,Taram","Teaching at  University","10th Term",NA
"273","Vahdati Halan","Mohammad"," 1960, Tabriz","Medical Doctor (M.D)",NA,"East Azarbaijan","20006","62721","31/89","Bostanabad, Tikmedash","Director of Shahid Madani Heart University in Tabriz","10th Term",NA
"274","Vakili","Mohammad Ali"," 1965, Yasouj","Ph.D. in Political Thinking",NA,"Tehran","1163052","3244056","35/85","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Journalist","10th Term",NA
"275","YarMohammadi","Alim"," 1956, Zahedan","MA",NA,NA,"98191","223262","43/98","Zahedan","Official in Ministry of Roads and Urban Development","10th Term",NA
"276","Youssefi","Homayoun"," 1973, Masjed-E-Soleyman","M.D., Oncologist",NA,"Khuzestan","112888","259390","43/52","Ahvaz, Bavi, Hamidaye, Karoun","Faculty Member of Ahvaz University of Medical Sciences","10th Term",NA
